activity_id,week,location_id,co_share_group
A017,18,PLAT:BET:S15:EB,g109
A017,18,PLAT:BET:S16:EB,g109
A017,18,SEC:BET:H01_H02:EB,g109
A017,18,SEC:BET:H02_S15:EB,g109
A017,18,SEC:BET:S15_S16:EB,g109
A014,18,PLAT:ALP:S07:EB,g110
A014,18,PLAT:ALP:S08:EB,g110
A014,18,SEC:ALP:S07_S08:EB,g110
A008,18,PLAT:BET:S17:EB,g111
A008,18,PLAT:BET:S18:EB,g111
A008,18,SEC:BET:S17_S18:EB,g111
A059,18,PLAT:ALP:S06:WB,g112
A059,18,PLAT:ALP:S07:WB,g112
A059,18,PLAT:ALP:S08:WB,g112
A059,18,SEC:ALP:S06_S07:WB,g112
A059,18,SEC:ALP:S07_S08:WB,g112
A006,18,PLAT:ALP:H01:WB,g113
A006,18,PLAT:ALP:H02:WB,g113
A006,18,PLAT:ALP:S03:WB,g113
A006,18,PLAT:ALP:S04:WB,g113
A006,18,SEC:ALP:H01_H02:WB,g113
A006,18,SEC:ALP:S03_S04:WB,g113
A006,18,SEC:ALP:S04_H01:WB,g113
A054,18,PLAT:ALP:H01:EB,g114
A054,18,PLAT:ALP:H02:EB,g114
A054,18,PLAT:ALP:S04:EB,g114
A054,18,PLAT:ALP:S05:EB,g114
A054,18,SEC:ALP:H01_H02:EB,g114
A054,18,SEC:ALP:H02_S05:EB,g114
A054,18,SEC:ALP:S04_H01:EB,g114
A017,19,PLAT:BET:H01:EB,g115
A017,19,PLAT:BET:H02:EB,g115
A017,19,PLAT:BET:S15:EB,g115
A017,19,PLAT:BET:S16:EB,g115
A017,19,SEC:BET:H01_H02:EB,g115
A017,19,SEC:BET:H02_S15:EB,g115
A017,19,SEC:BET:S15_S16:EB,g115
A014,19,PLAT:ALP:S07:EB,g116
A014,19,PLAT:ALP:S08:EB,g116
A014,19,SEC:ALP:S07_S08:EB,g116
A074,19,PLAT:ALP:H01:EB,g117
A074,19,PLAT:ALP:H02:EB,g117
A074,19,SEC:ALP:H01_H02:EB,g117
A008,19,PLAT:BET:S17:EB,g118
A008,19,PLAT:BET:S18:EB,g118
A008,19,SEC:BET:S17_S18:EB,g118
A065,19,PLAT:BET:S12:WB,g119
A065,19,PLAT:BET:S13:WB,g119
A065,19,SEC:BET:S12_S13:WB,g119
A059,19,PLAT:ALP:S06:WB,g120
A059,19,PLAT:ALP:S07:WB,g120
A059,19,PLAT:ALP:S08:WB,g120
A059,19,SEC:ALP:S06_S07:WB,g120
A059,19,SEC:ALP:S07_S08:WB,g120
A006,19,PLAT:ALP:H01:WB,g121
A006,19,PLAT:ALP:H02:WB,g121
A006,19,PLAT:ALP:S03:WB,g121
A006,19,PLAT:ALP:S04:WB,g121
A006,19,SEC:ALP:H01_H02:WB,g121
A006,19,SEC:ALP:S03_S04:WB,g121
A006,19,SEC:ALP:S04_H01:WB,g121
A017,20,PLAT:BET:H01:EB,g122
A017,20,PLAT:BET:H02:EB,g122
A017,20,PLAT:BET:S15:EB,g122
A017,20,PLAT:BET:S16:EB,g122
A017,20,SEC:BET:H01_H02:EB,g122
A017,20,SEC:BET:H02_S15:EB,g122
A017,20,SEC:BET:S15_S16:EB,g122
A008,20,PLAT:BET:S17:EB,g123
A008,20,PLAT:BET:S18:EB,g123
A008,20,SEC:BET:S17_S18:EB,g123
A059,20,PLAT:ALP:S06:WB,g124
A059,20,PLAT:ALP:S07:WB,g124
A059,20,PLAT:ALP:S08:WB,g124
A059,20,SEC:ALP:S06_S07:WB,g124
A059,20,SEC:ALP:S07_S08:WB,g124
A056,20,PLAT:ALP:H02:WB,g125
A056,20,PLAT:ALP:S05:WB,g125
A056,20,PLAT:ALP:S06:WB,g125
A056,20,PLAT:ALP:S07:WB,g125
A056,20,SEC:ALP:H02_S05:WB,g125
A056,20,SEC:ALP:S05_S06:WB,g125
A056,20,SEC:ALP:S06_S07:WB,g125
A050,20,PLAT:ALP:H01:WB,g126
A050,20,PLAT:ALP:S03:WB,g126
A050,20,PLAT:ALP:S04:WB,g126
A050,20,SEC:ALP:S03_S04:WB,g126
A050,20,SEC:ALP:S04_H01:WB,g126
A017,21,PLAT:BET:H01:EB,g127
A017,21,PLAT:BET:H02:EB,g127
A017,21,PLAT:BET:S15:EB,g127
A017,21,PLAT:BET:S16:EB,g127
A017,21,SEC:BET:H01_H02:EB,g127
A017,21,SEC:BET:H02_S15:EB,g127
A017,21,SEC:BET:S15_S16:EB,g127
A023,21,PLAT:ALP:S03:WB,g128
A023,21,PLAT:ALP:S04:WB,g128
A023,21,SEC:ALP:S03_S04:WB,g128
A013,21,PLAT:ALP:S05:WB,g129
A013,21,PLAT:ALP:S06:WB,g129
A013,21,SEC:ALP:S05_S06:WB,g129
A001,21,PLAT:BET:S15:EB,g130
A001,21,PLAT:BET:S16:EB,g130
A001,21,PLAT:BET:S17:EB,g130
A001,21,SEC:BET:S15_S16:EB,g130
A001,21,SEC:BET:S16_S17:EB,g130
A056,21,PLAT:ALP:H02:WB,g131
A056,21,PLAT:ALP:S05:WB,g131
A056,21,PLAT:ALP:S06:WB,g131
A056,21,PLAT:ALP:S07:WB,g131
A056,21,SEC:ALP:H02_S05:WB,g131
A056,21,SEC:ALP:S05_S06:WB,g131
A056,21,SEC:ALP:S06_S07:WB,g131
A050,21,PLAT:ALP:H01:WB,g132
A050,21,PLAT:ALP:S03:WB,g132
A050,21,PLAT:ALP:S04:WB,g132
A050,21,SEC:ALP:S03_S04:WB,g132
A050,21,SEC:ALP:S04_H01:WB,g132
A017,22,PLAT:BET:H01:EB,g133
A017,22,PLAT:BET:H02:EB,g133
A017,22,PLAT:BET:S15:EB,g133
A017,22,PLAT:BET:S16:EB,g133
A017,22,SEC:BET:H01_H02:EB,g133
A017,22,SEC:BET:H02_S15:EB,g133
A017,22,SEC:BET:S15_S16:EB,g133
A023,22,PLAT:ALP:S03:WB,g134
A023,22,PLAT:ALP:S04:WB,g134
A023,22,SEC:ALP:S03_S04:WB,g134
A013,22,PLAT:ALP:S05:WB,g135
A013,22,PLAT:ALP:S06:WB,g135
A013,22,SEC:ALP:S05_S06:WB,g135
